N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
1.0,1.0,es,gs,hs,1.0,0.224,0.5,7,1.848,0.152,EC
2.0,0.94502,es,gs,hs,1.0,0.224,0.5,7,1.848,0.152,EC
4.0,0.38096,es,gs,hs,1.0,0.224,0.5,7,1.848,0.152,EC
10.0,0.0255,es,gs,hs,1.0,0.224,0.5,7,1.848,0.152,EC
21.0,0.00084,es,gs,hs,1.0,0.224,0.5,7,1.848,0.152,EC
46.0,0.0,es,gs,hs,1.0,0.224,0.5,7,1.848,0.152,EC
100.0,0.0,es,gs,hs,1.0,0.224,0.5,7,1.848,0.152,EC
215.0,0.0,es,gs,hs,1.0,0.224,0.5,7,1.848,0.152,EC
464.0,0.0,es,gs,hs,1.0,0.224,0.5,7,1.848,0.152,EC
1000.0,0.0,es,gs,hs,1.0,0.224,0.5,7,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.25,0.224,1.0,3,1.848,0.152,EC
2.0,0.16184,es,gs,hs,0.25,0.224,1.0,3,1.848,0.152,EC
4.0,0.055,es,gs,hs,0.25,0.224,1.0,3,1.848,0.152,EC
10.0,0.0006,es,gs,hs,0.25,0.224,1.0,3,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.25,0.224,1.0,3,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.25,0.224,1.0,3,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.25,0.224,1.0,3,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.25,0.224,1.0,3,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.25,0.224,1.0,3,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.25,0.224,1.0,3,1.848,0.152,EC
1.0,1.0,es,gs,hs,0.25,0.224,0.5,5,1.848,0.152,EC
2.0,0.22632,es,gs,hs,0.25,0.224,0.5,5,1.848,0.152,EC
4.0,0.08024,es,gs,hs,0.25,0.224,0.5,5,1.848,0.152,EC
10.0,0.0004,es,gs,hs,0.25,0.224,0.5,5,1.848,0.152,EC
21.0,0.0,es,gs,hs,0.25,0.224,0.5,5,1.848,0.152,EC
46.0,0.0,es,gs,hs,0.25,0.224,0.5,5,1.848,0.152,EC
100.0,0.0,es,gs,hs,0.25,0.224,0.5,5,1.848,0.152,EC
215.0,0.0,es,gs,hs,0.25,0.224,0.5,5,1.848,0.152,EC
464.0,0.0,es,gs,hs,0.25,0.224,0.5,5,1.848,0.152,EC
1000.0,0.0,es,gs,hs,0.25,0.224,0.5,5,1.848,0.152,EC
1.0,1.0,ed,gs,hs,0.5,0.224,1.0,3,1.848,0.152,EC
2.0,0.34056,ed,gs,hs,0.5,0.224,1.0,3,1.848,0.152,EC
4.0,0.15864,ed,gs,hs,0.5,0.224,1.0,3,1.848,0.152,EC
