N,NPfix,fits,germs,hards,pGermBH,pGermWT,bankLength,fmean,fvar,site
1.0,1.0,fs,gs,hs,0.224,1.0,3,2.858,23.513,EC
2.0,0.4308,fs,gs,hs,0.224,1.0,3,2.858,23.513,EC
4.0,0.48748,fs,gs,hs,0.224,1.0,3,2.858,23.513,EC
10.0,0.4624,fs,gs,hs,0.224,1.0,3,2.858,23.513,EC
21.0,0.3297,fs,gs,hs,0.224,1.0,3,2.858,23.513,EC
46.0,0.5750000000000001,fs,gs,hs,0.224,1.0,3,2.858,23.513,EC
100.0,1.327,fs,gs,hs,0.224,1.0,3,2.858,23.513,EC
215.0,3.0272,fs,gs,hs,0.224,1.0,3,2.858,23.513,EC
464.0,6.94608,fs,gs,hs,0.224,1.0,3,2.858,23.513,EC
1000.0,13.96,fs,gs,hs,0.224,1.0,3,2.858,23.513,EC
1.0,1.0,fs,gs,hs,0.224,1.0,7,2.858,23.513,EC
2.0,0.72548,fs,gs,hs,0.224,1.0,7,2.858,23.513,EC
4.0,1.01188,fs,gs,hs,0.224,1.0,7,2.858,23.513,EC
10.0,1.0121,fs,gs,hs,0.224,1.0,7,2.858,23.513,EC
21.0,1.03467,fs,gs,hs,0.224,1.0,7,2.858,23.513,EC
46.0,3.01898,fs,gs,hs,0.224,1.0,7,2.858,23.513,EC
1000.0,8.33,fs,gs,hs,0.224,1.0,7,2.858,23.513,EC
100.0,7.179,fs,gs,hs,0.224,1.0,7,2.858,23.513,EC
215.0,12.71725,fs,gs,hs,0.224,1.0,7,2.858,23.513,EC
464.0,15.32128,fs,gs,hs,0.224,1.0,7,2.858,23.513,EC
1000.0,8.59,fs,gs,hs,0.224,1.0,7,2.858,23.513,EC
1.0,1.0,fs,gs,hs,0.224,1.0,5,2.858,23.513,EC
2.0,0.60868,fs,gs,hs,0.224,1.0,5,2.858,23.513,EC
4.0,0.78832,fs,gs,hs,0.224,1.0,5,2.858,23.513,EC
10.0,0.7221,fs,gs,hs,0.224,1.0,5,2.858,23.513,EC
21.0,0.32445,fs,gs,hs,0.224,1.0,5,2.858,23.513,EC
46.0,0.37076,fs,gs,hs,0.224,1.0,5,2.858,23.513,EC
100.0,0.621,fs,gs,hs,0.224,1.0,5,2.858,23.513,EC
215.0,1.02985,fs,gs,hs,0.224,1.0,5,2.858,23.513,EC
464.0,1.78176,fs,gs,hs,0.224,1.0,5,2.858,23.513,EC
1000.0,3.04,fs,gs,hs,0.224,1.0,5,2.858,23.513,EC
1.0,1.0,fs,gs,hs,0.224,0.5,5,2.858,23.513,EC
2.0,0.69764,fs,gs,hs,0.224,0.5,5,2.858,23.513,EC
4.0,0.527,fs,gs,hs,0.224,0.5,5,2.858,23.513,EC
10.0,0.1346,fs,gs,hs,0.224,0.5,5,2.858,23.513,EC
21.0,0.02457,fs,gs,hs,0.224,0.5,5,2.858,23.513,EC
46.0,0.0064399999999999,fs,gs,hs,0.224,0.5,5,2.858,23.513,EC
100.0,0.004,fs,gs,hs,0.224,0.5,5,2.858,23.513,EC
215.0,0.0,fs,gs,hs,0.224,0.5,5,2.858,23.513,EC
464.0,0.0,fs,gs,hs,0.224,0.5,5,2.858,23.513,EC
1000.0,0.0,fs,gs,hs,0.224,0.5,5,2.858,23.513,EC
1.0,1.0,fs,gs,hs,0.224,0.5,7,2.858,23.513,EC
2.0,0.80428,fs,gs,hs,0.224,0.5,7,2.858,23.513,EC
4.0,0.64484,fs,gs,hs,0.224,0.5,7,2.858,23.513,EC
10.0,0.2174999999999999,fs,gs,hs,0.224,0.5,7,2.858,23.513,EC
21.0,0.15372,fs,gs,hs,0.224,0.5,7,2.858,23.513,EC
46.0,0.2024,fs,gs,hs,0.224,0.5,7,2.858,23.513,EC
100.0,0.261,fs,gs,hs,0.224,0.5,7,2.858,23.513,EC
215.0,0.2365,fs,gs,hs,0.224,0.5,7,2.858,23.513,EC
464.0,0.1299199999999999,fs,gs,hs,0.224,0.5,7,2.858,23.513,EC
1000.0,0.01,fs,gs,hs,0.224,0.5,7,2.858,23.513,EC
1.0,1.0,fs,gs,hs,0.224,0.5,3,2.858,23.513,EC
2.0,0.5442,fs,gs,hs,0.224,0.5,3,2.858,23.513,EC
4.0,0.36296,fs,gs,hs,0.224,0.5,3,2.858,23.513,EC
10.0,0.0769,fs,gs,hs,0.224,0.5,3,2.858,23.513,EC
21.0,0.0170099999999999,fs,gs,hs,0.224,0.5,3,2.858,23.513,EC
46.0,0.00736,fs,gs,hs,0.224,0.5,3,2.858,23.513,EC
100.0,0.006,fs,gs,hs,0.224,0.5,3,2.858,23.513,EC
215.0,0.00215,fs,gs,hs,0.224,0.5,3,2.858,23.513,EC
464.0,0.0,fs,gs,hs,0.224,0.5,3,2.858,23.513,EC
1000.0,0.0,fs,gs,hs,0.224,0.5,3,2.858,23.513,EC
1.0,1.0,fd,gs,hs,0.224,0.224,5,2.858,23.513,EC
2.0,0.76934,fd,gs,hs,0.224,0.224,5,2.858,23.513,EC
4.0,1.02692,fd,gs,hs,0.224,0.224,5,2.858,23.513,EC
10.0,0.5564,fd,gs,hs,0.224,0.224,5,2.858,23.513,EC
21.0,0.95802,fd,gs,hs,0.224,0.224,5,2.858,23.513,EC
46.0,0.97382,fd,gs,hs,0.224,0.224,5,2.858,23.513,EC
