N,NPfix,fits,germs,hards,pGermBH,pGermWT,bankLength,fmean,fvar,site
1.0,1.0,fd,gs,hs,0.165,0.5,3,1.306,1.403,FR
2.0,0.32936,fd,gs,hs,0.165,0.5,3,1.306,1.403,FR
4.0,0.15472,fd,gs,hs,0.165,0.5,3,1.306,1.403,FR
10.0,0.0026,fd,gs,hs,0.165,0.5,3,1.306,1.403,FR
21.0,0.0,fd,gs,hs,0.165,0.5,3,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,0.5,3,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,0.5,3,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,0.5,3,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,0.5,3,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,0.5,3,1.306,1.403,FR
1.0,1.0,fd,gs,hs,0.165,1.0,5,1.306,1.403,FR
2.0,0.42526,fd,gs,hs,0.165,1.0,5,1.306,1.403,FR
4.0,0.28352,fd,gs,hs,0.165,1.0,5,1.306,1.403,FR
10.0,0.0101,fd,gs,hs,0.165,1.0,5,1.306,1.403,FR
21.0,0.00021,fd,gs,hs,0.165,1.0,5,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,1.0,5,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,1.0,5,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,1.0,5,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,1.0,5,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,1.0,5,1.306,1.403,FR
1.0,1.0,fd,gs,hs,0.165,0.75,3,1.306,1.403,FR
2.0,0.29638,fd,gs,hs,0.165,0.75,3,1.306,1.403,FR
4.0,0.14376,fd,gs,hs,0.165,0.75,3,1.306,1.403,FR
10.0,0.0046,fd,gs,hs,0.165,0.75,3,1.306,1.403,FR
21.0,0.0,fd,gs,hs,0.165,0.75,3,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,0.75,3,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,0.75,3,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,0.75,3,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,0.75,3,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,0.75,3,1.306,1.403,FR
1.0,1.0,fd,gs,hs,0.165,0.165,3,1.306,1.403,FR
2.0,0.39582,fd,gs,hs,0.165,0.165,3,1.306,1.403,FR
4.0,0.26716,fd,gs,hs,0.165,0.165,3,1.306,1.403,FR
10.0,0.0086,fd,gs,hs,0.165,0.165,3,1.306,1.403,FR
21.0,0.0,fd,gs,hs,0.165,0.165,3,1.306,1.403,FR
46.0,0.0,fd,gs,hs,0.165,0.165,3,1.306,1.403,FR
100.0,0.0,fd,gs,hs,0.165,0.165,3,1.306,1.403,FR
215.0,0.0,fd,gs,hs,0.165,0.165,3,1.306,1.403,FR
464.0,0.0,fd,gs,hs,0.165,0.165,3,1.306,1.403,FR
1000.0,0.0,fd,gs,hs,0.165,0.165,3,1.306,1.403,FR
1.0,1.0,fs,gs,hs,0.165,1.0,5,1.306,1.403,FR
2.0,0.42642,fs,gs,hs,0.165,1.0,5,1.306,1.403,FR
