N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
1.0,1.0,ed,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
2.0,0.34164,ed,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
4.0,0.12744,ed,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
10.0,0.0019,ed,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
21.0,0.0,ed,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
46.0,0.0,ed,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
100.0,0.0,ed,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
215.0,0.0,ed,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
464.0,0.0,ed,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
1000.0,0.0,ed,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
1.0,1.0,es,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
2.0,0.54178,es,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
4.0,0.12592,es,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
10.0,0.0,es,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
21.0,0.0,es,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
46.0,0.0,es,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
100.0,0.0,es,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
215.0,0.0,es,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
464.0,0.0,es,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,1.0,0.227,0.75,3,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.0,0.227,0.5,3,1.884,0.116,GCN
2.0,0.00842,es,gs,hs,0.0,0.227,0.5,3,1.884,0.116,GCN
4.0,4e-05,es,gs,hs,0.0,0.227,0.5,3,1.884,0.116,GCN
10.0,0.0,es,gs,hs,0.0,0.227,0.5,3,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.0,0.227,0.5,3,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.0,0.227,0.5,3,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.0,0.227,0.5,3,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.0,0.227,0.5,3,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.0,0.227,0.5,3,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.0,0.227,0.5,3,1.884,0.116,GCN
1.0,1.0,es,gs,hs,1.0,0.227,1.0,5,1.884,0.116,GCN
2.0,0.60962,es,gs,hs,1.0,0.227,1.0,5,1.884,0.116,GCN
4.0,0.17368,es,gs,hs,1.0,0.227,1.0,5,1.884,0.116,GCN
10.0,0.016,es,gs,hs,1.0,0.227,1.0,5,1.884,0.116,GCN
21.0,0.00021,es,gs,hs,1.0,0.227,1.0,5,1.884,0.116,GCN
46.0,0.0,es,gs,hs,1.0,0.227,1.0,5,1.884,0.116,GCN
100.0,0.0,es,gs,hs,1.0,0.227,1.0,5,1.884,0.116,GCN
215.0,0.0,es,gs,hs,1.0,0.227,1.0,5,1.884,0.116,GCN
464.0,0.0,es,gs,hs,1.0,0.227,1.0,5,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,1.0,0.227,1.0,5,1.884,0.116,GCN
