N,NPfix,fits,germs,hards,pGermBH,pGermWT,bankLength,fmean,fvar,site
1.0,1.0,fd,gs,hs,0.227,0.75,3,2.097,13.746,GCN
2.0,0.4643,fd,gs,hs,0.227,0.75,3,2.097,13.746,GCN
4.0,0.44836,fd,gs,hs,0.227,0.75,3,2.097,13.746,GCN
10.0,0.414,fd,gs,hs,0.227,0.75,3,2.097,13.746,GCN
21.0,0.55188,fd,gs,hs,0.227,0.75,3,2.097,13.746,GCN
46.0,3.5512,fd,gs,hs,0.227,0.75,3,2.097,13.746,GCN
100.0,8.574,fd,gs,hs,0.227,0.75,3,2.097,13.746,GCN
215.0,18.7652,fd,gs,hs,0.227,0.75,3,2.097,13.746,GCN
464.0,41.12432,fd,gs,hs,0.227,0.75,3,2.097,13.746,GCN
1000.0,88.71,fd,gs,hs,0.227,0.75,3,2.097,13.746,GCN
1.0,1.0,fd,gs,hs,0.227,0.5,3,2.097,13.746,GCN
2.0,0.51988,fd,gs,hs,0.227,0.5,3,2.097,13.746,GCN
4.0,0.46452,fd,gs,hs,0.227,0.5,3,2.097,13.746,GCN
10.0,0.1982,fd,gs,hs,0.227,0.5,3,2.097,13.746,GCN
21.0,0.10101,fd,gs,hs,0.227,0.5,3,2.097,13.746,GCN
46.0,0.08464,fd,gs,hs,0.227,0.5,3,2.097,13.746,GCN
100.0,0.004,fd,gs,hs,0.227,0.5,3,2.097,13.746,GCN
215.0,0.0,fd,gs,hs,0.227,0.5,3,2.097,13.746,GCN
464.0,0.0,fd,gs,hs,0.227,0.5,3,2.097,13.746,GCN
1000.0,0.0,fd,gs,hs,0.227,0.5,3,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,0.5,3,2.097,13.746,GCN
2.0,0.51434,fs,gs,hs,0.227,0.5,3,2.097,13.746,GCN
4.0,0.32372,fs,gs,hs,0.227,0.5,3,2.097,13.746,GCN
10.0,0.0481999999999999,fs,gs,hs,0.227,0.5,3,2.097,13.746,GCN
21.0,0.0105,fs,gs,hs,0.227,0.5,3,2.097,13.746,GCN
46.0,0.00184,fs,gs,hs,0.227,0.5,3,2.097,13.746,GCN
100.0,0.0,fs,gs,hs,0.227,0.5,3,2.097,13.746,GCN
215.0,0.0,fs,gs,hs,0.227,0.5,3,2.097,13.746,GCN
464.0,0.0,fs,gs,hs,0.227,0.5,3,2.097,13.746,GCN
1000.0,0.0,fs,gs,hs,0.227,0.5,3,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,1.0,3,2.097,13.746,GCN
2.0,0.41774,fs,gs,hs,0.227,1.0,3,2.097,13.746,GCN
4.0,0.41924,fs,gs,hs,0.227,1.0,3,2.097,13.746,GCN
10.0,0.2645,fs,gs,hs,0.227,1.0,3,2.097,13.746,GCN
21.0,0.1150799999999999,fs,gs,hs,0.227,1.0,3,2.097,13.746,GCN
46.0,0.11454,fs,gs,hs,0.227,1.0,3,2.097,13.746,GCN
100.0,0.219,fs,gs,hs,0.227,1.0,3,2.097,13.746,GCN
215.0,0.3999,fs,gs,hs,0.227,1.0,3,2.097,13.746,GCN
464.0,0.82128,fs,gs,hs,0.227,1.0,3,2.097,13.746,GCN
1000.0,1.41,fs,gs,hs,0.227,1.0,3,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,0.227,3,2.097,13.746,GCN
2.0,0.62306,fs,gs,hs,0.227,0.227,3,2.097,13.746,GCN
4.0,0.59932,fs,gs,hs,0.227,0.227,3,2.097,13.746,GCN
10.0,0.1348,fs,gs,hs,0.227,0.227,3,2.097,13.746,GCN
21.0,0.03528,fs,gs,hs,0.227,0.227,3,2.097,13.746,GCN
46.0,0.01794,fs,gs,hs,0.227,0.227,3,2.097,13.746,GCN
100.0,0.018,fs,gs,hs,0.227,0.227,3,2.097,13.746,GCN
215.0,0.00645,fs,gs,hs,0.227,0.227,3,2.097,13.746,GCN
464.0,0.00928,fs,gs,hs,0.227,0.227,3,2.097,13.746,GCN
1000.0,0.0,fs,gs,hs,0.227,0.227,3,2.097,13.746,GCN
1.0,1.0,fd,gs,hs,0.227,1.0,3,2.097,13.746,GCN
2.0,0.44314,fd,gs,hs,0.227,1.0,3,2.097,13.746,GCN
4.0,0.66376,fd,gs,hs,0.227,1.0,3,2.097,13.746,GCN
10.0,0.7211,fd,gs,hs,0.227,1.0,3,2.097,13.746,GCN
21.0,0.90153,fd,gs,hs,0.227,1.0,3,2.097,13.746,GCN
46.0,5.25504,fd,gs,hs,0.227,1.0,3,2.097,13.746,GCN
100.0,12.465,fd,gs,hs,0.227,1.0,3,2.097,13.746,GCN
215.0,26.9352,fd,gs,hs,0.227,1.0,3,2.097,13.746,GCN
464.0,58.464,fd,gs,hs,0.227,1.0,3,2.097,13.746,GCN
1000.0,126.97,fd,gs,hs,0.227,1.0,3,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,0.75,7,2.097,13.746,GCN
2.0,0.7057,fs,gs,hs,0.227,0.75,7,2.097,13.746,GCN
4.0,0.67252,fs,gs,hs,0.227,0.75,7,2.097,13.746,GCN
10.0,0.2905999999999999,fs,gs,hs,0.227,0.75,7,2.097,13.746,GCN
21.0,0.10794,fs,gs,hs,0.227,0.75,7,2.097,13.746,GCN
46.0,0.25576,fs,gs,hs,0.227,0.75,7,2.097,13.746,GCN
100.0,0.827,fs,gs,hs,0.227,0.75,7,2.097,13.746,GCN
215.0,1.48995,fs,gs,hs,0.227,0.75,7,2.097,13.746,GCN
464.0,1.6936,fs,gs,hs,0.227,0.75,7,2.097,13.746,GCN
1000.0,0.82,fs,gs,hs,0.227,0.75,7,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,0.5,7,2.097,13.746,GCN
2.0,0.75764,fs,gs,hs,0.227,0.5,7,2.097,13.746,GCN
4.0,0.6006,fs,gs,hs,0.227,0.5,7,2.097,13.746,GCN
10.0,0.1421,fs,gs,hs,0.227,0.5,7,2.097,13.746,GCN
21.0,0.03948,fs,gs,hs,0.227,0.5,7,2.097,13.746,GCN
46.0,0.0575,fs,gs,hs,0.227,0.5,7,2.097,13.746,GCN
100.0,0.104,fs,gs,hs,0.227,0.5,7,2.097,13.746,GCN
215.0,0.1376,fs,gs,hs,0.227,0.5,7,2.097,13.746,GCN
464.0,0.10672,fs,gs,hs,0.227,0.5,7,2.097,13.746,GCN
1000.0,0.03,fs,gs,hs,0.227,0.5,7,2.097,13.746,GCN
1.0,1.0,fd,gs,hs,0.227,0.5,7,2.097,13.746,GCN
2.0,0.75694,fd,gs,hs,0.227,0.5,7,2.097,13.746,GCN
4.0,0.79352,fd,gs,hs,0.227,0.5,7,2.097,13.746,GCN
10.0,0.6719999999999999,fd,gs,hs,0.227,0.5,7,2.097,13.746,GCN
21.0,1.72599,fd,gs,hs,0.227,0.5,7,2.097,13.746,GCN
46.0,3.75176,fd,gs,hs,0.227,0.5,7,2.097,13.746,GCN
100.0,8.245,fd,gs,hs,0.227,0.5,7,2.097,13.746,GCN
215.0,17.6773,fd,gs,hs,0.227,0.5,7,2.097,13.746,GCN
464.0,38.08048,fd,gs,hs,0.227,0.5,7,2.097,13.746,GCN
1000.0,83.28,fd,gs,hs,0.227,0.5,7,2.097,13.746,GCN
1.0,1.0,fd,gs,hs,0.227,0.75,7,2.097,13.746,GCN
2.0,0.72146,fd,gs,hs,0.227,0.75,7,2.097,13.746,GCN
4.0,0.90716,fd,gs,hs,0.227,0.75,7,2.097,13.746,GCN
10.0,1.254,fd,gs,hs,0.227,0.75,7,2.097,13.746,GCN
21.0,4.56855,fd,gs,hs,0.227,0.75,7,2.097,13.746,GCN
46.0,10.94156,fd,gs,hs,0.227,0.75,7,2.097,13.746,GCN
100.0,24.105,fd,gs,hs,0.227,0.75,7,2.097,13.746,GCN
215.0,51.48605,fd,gs,hs,0.227,0.75,7,2.097,13.746,GCN
464.0,111.76832,fd,gs,hs,0.227,0.75,7,2.097,13.746,GCN
1000.0,237.53,fd,gs,hs,0.227,0.75,7,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,0.75,3,2.097,13.746,GCN
2.0,0.45002,fs,gs,hs,0.227,0.75,3,2.097,13.746,GCN
4.0,0.30896,fs,gs,hs,0.227,0.75,3,2.097,13.746,GCN
10.0,0.0949,fs,gs,hs,0.227,0.75,3,2.097,13.746,GCN
21.0,0.02457,fs,gs,hs,0.227,0.75,3,2.097,13.746,GCN
46.0,0.01748,fs,gs,hs,0.227,0.75,3,2.097,13.746,GCN
100.0,0.0139999999999999,fs,gs,hs,0.227,0.75,3,2.097,13.746,GCN
215.0,0.01075,fs,gs,hs,0.227,0.75,3,2.097,13.746,GCN
464.0,0.00928,fs,gs,hs,0.227,0.75,3,2.097,13.746,GCN
1000.0,0.01,fs,gs,hs,0.227,0.75,3,2.097,13.746,GCN
1.0,1.0,fd,gs,hs,0.227,1.0,7,2.097,13.746,GCN
2.0,0.72452,fd,gs,hs,0.227,1.0,7,2.097,13.746,GCN
4.0,1.18108,fd,gs,hs,0.227,1.0,7,2.097,13.746,GCN
10.0,1.7143,fd,gs,hs,0.227,1.0,7,2.097,13.746,GCN
21.0,5.60679,fd,gs,hs,0.227,1.0,7,2.097,13.746,GCN
46.0,13.0502,fd,gs,hs,0.227,1.0,7,2.097,13.746,GCN
100.0,28.693,fd,gs,hs,0.227,1.0,7,2.097,13.746,GCN
215.0,61.52654999999999,fd,gs,hs,0.227,1.0,7,2.097,13.746,GCN
464.0,131.88736,fd,gs,hs,0.227,1.0,7,2.097,13.746,GCN
1000.0,285.91,fd,gs,hs,0.227,1.0,7,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,0.227,7,2.097,13.746,GCN
2.0,0.86908,fs,gs,hs,0.227,0.227,7,2.097,13.746,GCN
4.0,0.8608,fs,gs,hs,0.227,0.227,7,2.097,13.746,GCN
10.0,0.156,fs,gs,hs,0.227,0.227,7,2.097,13.746,GCN
21.0,0.03381,fs,gs,hs,0.227,0.227,7,2.097,13.746,GCN
46.0,0.0478399999999999,fs,gs,hs,0.227,0.227,7,2.097,13.746,GCN
100.0,0.083,fs,gs,hs,0.227,0.227,7,2.097,13.746,GCN
215.0,0.0688,fs,gs,hs,0.227,0.227,7,2.097,13.746,GCN
464.0,0.0232,fs,gs,hs,0.227,0.227,7,2.097,13.746,GCN
1000.0,0.01,fs,gs,hs,0.227,0.227,7,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,1.0,7,2.097,13.746,GCN
2.0,0.6907,fs,gs,hs,0.227,1.0,7,2.097,13.746,GCN
4.0,0.8676,fs,gs,hs,0.227,1.0,7,2.097,13.746,GCN
10.0,0.5344,fs,gs,hs,0.227,1.0,7,2.097,13.746,GCN
21.0,0.20286,fs,gs,hs,0.227,1.0,7,2.097,13.746,GCN
46.0,0.5727,fs,gs,hs,0.227,1.0,7,2.097,13.746,GCN
100.0,1.612,fs,gs,hs,0.227,1.0,7,2.097,13.746,GCN
215.0,3.3411,fs,gs,hs,0.227,1.0,7,2.097,13.746,GCN
464.0,3.8048,fs,gs,hs,0.227,1.0,7,2.097,13.746,GCN
1000.0,1.81,fs,gs,hs,0.227,1.0,7,2.097,13.746,GCN
1.0,1.0,fd,gs,hs,0.227,0.227,5,2.097,13.746,GCN
2.0,0.76618,fd,gs,hs,0.227,0.227,5,2.097,13.746,GCN
4.0,0.96164,fd,gs,hs,0.227,0.227,5,2.097,13.746,GCN
10.0,0.3403,fd,gs,hs,0.227,0.227,5,2.097,13.746,GCN
21.0,0.8782200000000001,fd,gs,hs,0.227,0.227,5,2.097,13.746,GCN
46.0,0.98946,fd,gs,hs,0.227,0.227,5,2.097,13.746,GCN
100.0,1.013,fd,gs,hs,0.227,0.227,5,2.097,13.746,GCN
215.0,0.99545,fd,gs,hs,0.227,0.227,5,2.097,13.746,GCN
464.0,1.01616,fd,gs,hs,0.227,0.227,5,2.097,13.746,GCN
1000.0,0.8899999999999999,fd,gs,hs,0.227,0.227,5,2.097,13.746,GCN
1.0,1.0,fd,gs,hs,0.227,0.227,3,2.097,13.746,GCN
2.0,0.61696,fd,gs,hs,0.227,0.227,3,2.097,13.746,GCN
4.0,0.78912,fd,gs,hs,0.227,0.227,3,2.097,13.746,GCN
10.0,0.4226,fd,gs,hs,0.227,0.227,3,2.097,13.746,GCN
21.0,0.31248,fd,gs,hs,0.227,0.227,3,2.097,13.746,GCN
46.0,0.94392,fd,gs,hs,0.227,0.227,3,2.097,13.746,GCN
100.0,1.003,fd,gs,hs,0.227,0.227,3,2.097,13.746,GCN
215.0,0.98685,fd,gs,hs,0.227,0.227,3,2.097,13.746,GCN
464.0,0.98832,fd,gs,hs,0.227,0.227,3,2.097,13.746,GCN
1000.0,1.05,fd,gs,hs,0.227,0.227,3,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,0.75,5,2.097,13.746,GCN
2.0,0.604,fs,gs,hs,0.227,0.75,5,2.097,13.746,GCN
4.0,0.51528,fs,gs,hs,0.227,0.75,5,2.097,13.746,GCN
10.0,0.1866999999999999,fs,gs,hs,0.227,0.75,5,2.097,13.746,GCN
21.0,0.05082,fs,gs,hs,0.227,0.75,5,2.097,13.746,GCN
46.0,0.01978,fs,gs,hs,0.227,0.75,5,2.097,13.746,GCN
100.0,0.015,fs,gs,hs,0.227,0.75,5,2.097,13.746,GCN
215.0,0.02365,fs,gs,hs,0.227,0.75,5,2.097,13.746,GCN
464.0,0.01392,fs,gs,hs,0.227,0.75,5,2.097,13.746,GCN
1000.0,0.0,fs,gs,hs,0.227,0.75,5,2.097,13.746,GCN
1.0,1.0,fs,gs,hs,0.227,0.227,5,2.097,13.746,GCN
2.0,0.76828,fs,gs,hs,0.227,0.227,5,2.097,13.746,GCN
4.0,0.75252,fs,gs,hs,0.227,0.227,5,2.097,13.746,GCN
10.0,0.1429,fs,gs,hs,0.227,0.227,5,2.097,13.746,GCN
21.0,0.02268,fs,gs,hs,0.227,0.227,5,2.097,13.746,GCN
46.0,0.00552,fs,gs,hs,0.227,0.227,5,2.097,13.746,GCN
100.0,0.003,fs,gs,hs,0.227,0.227,5,2.097,13.746,GCN
215.0,0.0,fs,gs,hs,0.227,0.227,5,2.097,13.746,GCN
464.0,0.0,fs,gs,hs,0.227,0.227,5,2.097,13.746,GCN
1000.0,0.0,fs,gs,hs,0.227,0.227,5,2.097,13.746,GCN
1.0,1.0,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
2.0,0.61628,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
4.0,0.9778,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
10.0,0.8756999999999999,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
21.0,4.23213,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
46.0,10.11908,fd,gs,hs,0.227,1.0,5,2.097,13.746,GCN
