N,NPfix,fits,germs,hards,pGermBH,pGermWT,bankLength,fmean,fvar
1.0,1.0,fd,gs,ss,0.5,0.6,3,1.1,0.05
2.0,1.2327,fd,gs,ss,0.5,0.6,3,1.1,0.05
4.0,0.96784,fd,gs,ss,0.5,0.6,3,1.1,0.05
10.0,0.4627,fd,gs,ss,0.5,0.6,3,1.1,0.05
21.0,0.19824,fd,gs,ss,0.5,0.6,3,1.1,0.05
46.0,0.0184,fd,gs,ss,0.5,0.6,3,1.1,0.05
100.0,0.0,fd,gs,ss,0.5,0.6,3,1.1,0.05
215.0,0.0,fd,gs,ss,0.5,0.6,3,1.1,0.05
464.0,0.0,fd,gs,ss,0.5,0.6,3,1.1,0.05
1000.0,0.0,fd,gs,ss,0.5,0.6,3,1.1,0.05
1.0,1.0,fd,gs,hs,0.7,0.8,3,1.0,0.1
2.0,0.66746,fd,gs,hs,0.7,0.8,3,1.0,0.1
4.0,0.457,fd,gs,hs,0.7,0.8,3,1.0,0.1
10.0,0.1313,fd,gs,hs,0.7,0.8,3,1.0,0.1
21.0,0.00567,fd,gs,hs,0.7,0.8,3,1.0,0.1
46.0,0.0,fd,gs,hs,0.7,0.8,3,1.0,0.1
100.0,0.0,fd,gs,hs,0.7,0.8,3,1.0,0.1
215.0,0.0,fd,gs,hs,0.7,0.8,3,1.0,0.1
464.0,0.0,fd,gs,hs,0.7,0.8,3,1.0,0.1
1000.0,0.0,fd,gs,hs,0.7,0.8,3,1.0,0.1
1.0,1.0,fs,gs,hs,0.9,0.9,3,0.9,0.1
2.0,0.55422,fs,gs,hs,0.9,0.9,3,0.9,0.1
4.0,0.34184,fs,gs,hs,0.9,0.9,3,0.9,0.1
10.0,0.1045,fs,gs,hs,0.9,0.9,3,0.9,0.1
21.0,0.0084,fs,gs,hs,0.9,0.9,3,0.9,0.1
46.0,0.0,fs,gs,hs,0.9,0.9,3,0.9,0.1
100.0,0.0,fs,gs,hs,0.9,0.9,3,0.9,0.1
215.0,0.0,fs,gs,hs,0.9,0.9,3,0.9,0.1
464.0,0.0,fs,gs,hs,0.9,0.9,3,0.9,0.1
1000.0,0.0,fs,gs,hs,0.9,0.9,3,0.9,0.1
1.0,1.0,fd,gs,hs,0.6,0.7,7,1.1,0.1
2.0,0.77594,fd,gs,hs,0.6,0.7,7,1.1,0.1
4.0,0.59356,fd,gs,hs,0.6,0.7,7,1.1,0.1
10.0,0.2417,fd,gs,hs,0.6,0.7,7,1.1,0.1
21.0,0.1667399999999999,fd,gs,hs,0.6,0.7,7,1.1,0.1
46.0,0.60812,fd,gs,hs,0.6,0.7,7,1.1,0.1
100.0,0.721,fd,gs,hs,0.6,0.7,7,1.1,0.1
215.0,0.79335,fd,gs,hs,0.6,0.7,7,1.1,0.1
464.0,0.7656,fd,gs,hs,0.6,0.7,7,1.1,0.1
1000.0,0.46,fd,gs,hs,0.6,0.7,7,1.1,0.1
1.0,1.0,fs,gs,ss,0.5,0.5,5,0.9,0.01
2.0,1.4415,fs,gs,ss,0.5,0.5,5,0.9,0.01
4.0,1.37192,fs,gs,ss,0.5,0.5,5,0.9,0.01
10.0,0.9974,fs,gs,ss,0.5,0.5,5,0.9,0.01
21.0,0.9975,fs,gs,ss,0.5,0.5,5,0.9,0.01
46.0,0.98532,fs,gs,ss,0.5,0.5,5,0.9,0.01
100.0,0.922,fs,gs,ss,0.5,0.5,5,0.9,0.01
215.0,1.04705,fs,gs,ss,0.5,0.5,5,0.9,0.01
464.0,0.96512,fs,gs,ss,0.5,0.5,5,0.9,0.01
1000.0,0.86,fs,gs,ss,0.5,0.5,5,0.9,0.01
1.0,1.0,fs,gs,hs,0.5,0.5,5,0.9,0.1
2.0,0.61142,fs,gs,hs,0.5,0.5,5,0.9,0.1
4.0,0.24532,fs,gs,hs,0.5,0.5,5,0.9,0.1
10.0,0.0042,fs,gs,hs,0.5,0.5,5,0.9,0.1
21.0,0.0,fs,gs,hs,0.5,0.5,5,0.9,0.1
46.0,0.0,fs,gs,hs,0.5,0.5,5,0.9,0.1
100.0,0.0,fs,gs,hs,0.5,0.5,5,0.9,0.1
215.0,0.0,fs,gs,hs,0.5,0.5,5,0.9,0.1
464.0,0.0,fs,gs,hs,0.5,0.5,5,0.9,0.1
1000.0,0.0,fs,gs,hs,0.5,0.5,5,0.9,0.1
1.0,1.0,fd,gs,ss,0.5,0.6,3,1.0,0.05
2.0,1.2286,fd,gs,ss,0.5,0.6,3,1.0,0.05
4.0,0.96504,fd,gs,ss,0.5,0.6,3,1.0,0.05
10.0,0.4553,fd,gs,ss,0.5,0.6,3,1.0,0.05
21.0,0.1994999999999999,fd,gs,ss,0.5,0.6,3,1.0,0.05
46.0,0.02346,fd,gs,ss,0.5,0.6,3,1.0,0.05
100.0,0.0,fd,gs,ss,0.5,0.6,3,1.0,0.05
215.0,0.0,fd,gs,ss,0.5,0.6,3,1.0,0.05
464.0,0.0,fd,gs,ss,0.5,0.6,3,1.0,0.05
1000.0,0.0,fd,gs,ss,0.5,0.6,3,1.0,0.05
1.0,1.0,fs,gs,hs,0.8,0.7,3,1.0,0.1
2.0,0.67166,fs,gs,hs,0.8,0.7,3,1.0,0.1
4.0,0.49668,fs,gs,hs,0.8,0.7,3,1.0,0.1
10.0,0.2526,fs,gs,hs,0.8,0.7,3,1.0,0.1
21.0,0.05208,fs,gs,hs,0.8,0.7,3,1.0,0.1
46.0,0.00138,fs,gs,hs,0.8,0.7,3,1.0,0.1
100.0,0.0,fs,gs,hs,0.8,0.7,3,1.0,0.1
215.0,0.0,fs,gs,hs,0.8,0.7,3,1.0,0.1
464.0,0.0,fs,gs,hs,0.8,0.7,3,1.0,0.1
1000.0,0.0,fs,gs,hs,0.8,0.7,3,1.0,0.1
1.0,1.0,fs,gs,hs,0.9,0.8,7,1.1,0.1
2.0,0.7237,fs,gs,hs,0.9,0.8,7,1.1,0.1
4.0,0.65508,fs,gs,hs,0.9,0.8,7,1.1,0.1
10.0,0.7013,fs,gs,hs,0.9,0.8,7,1.1,0.1
21.0,0.84945,fs,gs,hs,0.9,0.8,7,1.1,0.1
46.0,0.93196,fs,gs,hs,0.9,0.8,7,1.1,0.1
100.0,0.657,fs,gs,hs,0.9,0.8,7,1.1,0.1
215.0,0.68155,fs,gs,hs,0.9,0.8,7,1.1,0.1
464.0,0.82592,fs,gs,hs,0.9,0.8,7,1.1,0.1
1000.0,0.8400000000000001,fs,gs,hs,0.9,0.8,7,1.1,0.1
1.0,1.0,fd,gs,hs,0.6,0.6,3,0.9,0.1
2.0,0.6031,fd,gs,hs,0.6,0.6,3,0.9,0.1
4.0,0.27168,fd,gs,hs,0.6,0.6,3,0.9,0.1
10.0,0.0111999999999999,fd,gs,hs,0.6,0.6,3,0.9,0.1
21.0,0.0,fd,gs,hs,0.6,0.6,3,0.9,0.1
46.0,0.0,fd,gs,hs,0.6,0.6,3,0.9,0.1
100.0,0.0,fd,gs,hs,0.6,0.6,3,0.9,0.1
215.0,0.0,fd,gs,hs,0.6,0.6,3,0.9,0.1
464.0,0.0,fd,gs,hs,0.6,0.6,3,0.9,0.1
1000.0,0.0,fd,gs,hs,0.6,0.6,3,0.9,0.1
1.0,1.0,fd,gs,ss,0.8,0.6,3,0.9,0.05
2.0,1.48684,fd,gs,ss,0.8,0.6,3,0.9,0.05
4.0,1.72944,fd,gs,ss,0.8,0.6,3,0.9,0.05
10.0,1.7875,fd,gs,ss,0.8,0.6,3,0.9,0.05
21.0,2.32932,fd,gs,ss,0.8,0.6,3,0.9,0.05
46.0,4.00016,fd,gs,ss,0.8,0.6,3,0.9,0.05
100.0,8.291,fd,gs,ss,0.8,0.6,3,0.9,0.05
215.0,17.6386,fd,gs,ss,0.8,0.6,3,0.9,0.05
464.0,38.67904,fd,gs,ss,0.8,0.6,3,0.9,0.05
1000.0,81.3,fd,gs,ss,0.8,0.6,3,0.9,0.05
1.0,1.0,fd,gs,ss,0.9,0.8,7,0.9,0.05
2.0,1.2771,fd,gs,ss,0.9,0.8,7,0.9,0.05
4.0,1.27668,fd,gs,ss,0.9,0.8,7,0.9,0.05
10.0,1.1678,fd,gs,ss,0.9,0.8,7,0.9,0.05
21.0,1.14891,fd,gs,ss,0.9,0.8,7,0.9,0.05
46.0,1.14862,fd,gs,ss,0.9,0.8,7,0.9,0.05
100.0,1.102,fd,gs,ss,0.9,0.8,7,0.9,0.05
215.0,1.12875,fd,gs,ss,0.9,0.8,7,0.9,0.05
464.0,1.21104,fd,gs,ss,0.9,0.8,7,0.9,0.05
1000.0,1.16,fd,gs,ss,0.9,0.8,7,0.9,0.05
1.0,1.0,fs,gs,hs,0.7,0.6,3,1.1,0.05
2.0,0.76662,fs,gs,hs,0.7,0.6,3,1.1,0.05
4.0,0.64644,fs,gs,hs,0.7,0.6,3,1.1,0.05
10.0,0.483,fs,gs,hs,0.7,0.6,3,1.1,0.05
21.0,0.18102,fs,gs,hs,0.7,0.6,3,1.1,0.05
46.0,1.00464,fs,gs,hs,0.7,0.6,3,1.1,0.05
100.0,2.428,fs,gs,hs,0.7,0.6,3,1.1,0.05
215.0,5.95765,fs,gs,hs,0.7,0.6,3,1.1,0.05
464.0,13.63696,fs,gs,hs,0.7,0.6,3,1.1,0.05
1000.0,30.01,fs,gs,hs,0.7,0.6,3,1.1,0.05
1.0,1.0,fs,gs,ss,0.8,0.5,5,1.0,0.01
2.0,1.60608,fs,gs,ss,0.8,0.5,5,1.0,0.01
4.0,2.0974,fs,gs,ss,0.8,0.5,5,1.0,0.01
10.0,2.1104000000000003,fs,gs,ss,0.8,0.5,5,1.0,0.01
21.0,2.57775,fs,gs,ss,0.8,0.5,5,1.0,0.01
46.0,4.09722,fs,gs,ss,0.8,0.5,5,1.0,0.01
100.0,7.718,fs,gs,ss,0.8,0.5,5,1.0,0.01
215.0,16.643150000000002,fs,gs,ss,0.8,0.5,5,1.0,0.01
464.0,36.05744,fs,gs,ss,0.8,0.5,5,1.0,0.01
1000.0,77.39,fs,gs,ss,0.8,0.5,5,1.0,0.01
1.0,1.0,fd,gs,ss,1.0,0.8,3,1.0,0.01
2.0,1.33184,fd,gs,ss,1.0,0.8,3,1.0,0.01
4.0,1.39704,fd,gs,ss,1.0,0.8,3,1.0,0.01
10.0,1.3402,fd,gs,ss,1.0,0.8,3,1.0,0.01
21.0,1.3263599999999998,fd,gs,ss,1.0,0.8,3,1.0,0.01
46.0,1.33538,fd,gs,ss,1.0,0.8,3,1.0,0.01
100.0,1.584,fd,gs,ss,1.0,0.8,3,1.0,0.01
215.0,1.77805,fd,gs,ss,1.0,0.8,3,1.0,0.01
464.0,2.51952,fd,gs,ss,1.0,0.8,3,1.0,0.01
1000.0,4.65,fd,gs,ss,1.0,0.8,3,1.0,0.01
1.0,1.0,fs,gs,hs,0.6,0.8,7,1.1,0.05
2.0,0.73692,fs,gs,hs,0.6,0.8,7,1.1,0.05
4.0,0.5834,fs,gs,hs,0.6,0.8,7,1.1,0.05
10.0,0.2384,fs,gs,hs,0.6,0.8,7,1.1,0.05
