N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wB
1.0,1.0,es,gs,hs,1.0,0.3,0.8,5,0.99
2.0,0.772078,es,gs,hs,1.0,0.3,0.8,5,0.99
7.0,0.132629,es,gs,hs,1.0,0.3,0.8,5,0.99
21.0,0.008967,es,gs,hs,1.0,0.3,0.8,5,0.99
59.0,0.0,es,gs,hs,1.0,0.3,0.8,5,0.99
166.0,0.0,es,gs,hs,1.0,0.3,0.8,5,0.99
464.0,0.0,es,gs,hs,1.0,0.3,0.8,5,0.99
1291.0,0.0,es,gs,hs,1.0,0.3,0.8,5,0.99
3593.0,0.0,es,gs,hs,1.0,0.3,0.8,5,0.99
10000.0,0.0,es,gs,hs,1.0,0.3,0.8,5,0.99
1.0,1.0,es,gs,hs,0.25,0.9,0.7,5,0.95
2.0,0.725554,es,gs,hs,0.25,0.9,0.7,5,0.95
7.0,0.570619,es,gs,hs,0.25,0.9,0.7,5,0.95
21.0,0.557319,es,gs,hs,0.25,0.9,0.7,5,0.95
59.0,0.3835,es,gs,hs,0.25,0.9,0.7,5,0.95
166.0,0.112714,es,gs,hs,0.25,0.9,0.7,5,0.95
464.0,0.18096,es,gs,hs,0.25,0.9,0.7,5,0.95
1291.0,0.131682,es,gs,hs,0.25,0.9,0.7,5,0.95
3593.0,0.028744,es,gs,hs,0.25,0.9,0.7,5,0.95
10000.0,0.0,es,gs,hs,0.25,0.9,0.7,5,0.95
1.0,1.0,es,gs,ss,0.25,0.4,0.8,5,0.9
2.0,0.865928,es,gs,ss,0.25,0.4,0.8,5,0.9
7.0,0.296121,es,gs,ss,0.25,0.4,0.8,5,0.9
21.0,0.060354,es,gs,ss,0.25,0.4,0.8,5,0.9
59.0,0.000649,es,gs,ss,0.25,0.4,0.8,5,0.9
166.0,0.0,es,gs,ss,0.25,0.4,0.8,5,0.9
464.0,0.0,es,gs,ss,0.25,0.4,0.8,5,0.9
1291.0,0.0,es,gs,ss,0.25,0.4,0.8,5,0.9
3593.0,0.0,es,gs,ss,0.25,0.4,0.8,5,0.9
