Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
5	:	1718313691.806	    64.795	0	247	0	0	./local_bash_scripts/June13/13.sh
1	:	1718313691.533	    80.828	0	295	0	0	./local_bash_scripts/June13/1.sh
6	:	1718313691.888	   112.713	0	234	0	0	./local_bash_scripts/June13/14.sh
9	:	1718313762.689	    56.354	0	232	0	0	./local_bash_scripts/June13/17.sh
10	:	1718313773.089	    94.963	0	235	0	0	./local_bash_scripts/June13/18.sh
7	:	1718313692.522	   296.036	0	241	0	0	./local_bash_scripts/June13/15.sh
14	:	1718313988.559	    63.914	0	232	0	0	./local_bash_scripts/June13/21.sh
15	:	1718313988.676	   107.023	0	232	0	0	./local_bash_scripts/June13/22.sh
12	:	1718313819.043	   382.404	0	268	0	0	./local_bash_scripts/June13/2.sh
8	:	1718313695.636	   525.320	0	245	0	0	./local_bash_scripts/June13/16.sh
18	:	1718314204.174	   122.704	0	254	0	0	./local_bash_scripts/June13/25.sh
16	:	1718314111.531	   270.608	0	233	0	0	./local_bash_scripts/June13/23.sh
11	:	1718313810.689	   673.904	0	237	0	0	./local_bash_scripts/June13/19.sh
17	:	1718314203.692	   470.810	0	239	0	0	./local_bash_scripts/June13/24.sh
22	:	1718314674.600	    61.784	0	232	0	0	./local_bash_scripts/June13/29.sh
2	:	1718313691.597	  3106.943	0	239	0	0	./local_bash_scripts/June13/10.sh
24	:	1718316799.949	    97.368	0	232	0	0	./local_bash_scripts/June13/30.sh
25	:	1718316897.383	   295.740	0	239	0	0	./local_bash_scripts/June13/31.sh
27	:	1718317193.241	    57.003	0	239	0	0	./local_bash_scripts/June13/33.sh
26	:	1718317193.123	   458.755	0	255	0	0	./local_bash_scripts/June13/32.sh
28	:	1718317651.878	   200.364	0	239	0	0	./local_bash_scripts/June13/34.sh
